0,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.002,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.004,-1.67999986,-1.401799988,-1.812699879,-2.993700124,-0.88569986,-0.069600014,1
0.006,-1.679999579,-1.401799965,-1.812699637,-2.993700372,-0.88569958,-0.069600041,1
0.008,-1.679999157,-1.40179993,-1.812699275,-2.993700744,-0.88569916,-0.069600082,1
0.01,-1.679998596,-1.401799884,-1.812698791,-2.99370124,-0.8856986,-0.069600136,1
0.012,-1.679997893,-1.401799825,-1.812698186,-2.993701859,-0.885697899,-0.069600204,1
0.014,-1.679997051,-1.401799755,-1.812697461,-2.993702603,-0.885697059,-0.069600285,1
0.016,-1.679996068,-1.401799674,-1.812696614,-2.993703471,-0.885696079,-0.06960038,1
0.018,-1.679994944,-1.401799581,-1.812695647,-2.993704462,-0.885694958,-0.069600489,1
0.02,-1.67999368,-1.401799476,-1.812694559,-2.993705578,-0.885693698,-0.069600611,1
0.022,-1.679992276,-1.40179936,-1.81269335,-2.993706818,-0.885692298,-0.069600747,1
0.024,-1.679990731,-1.401799232,-1.81269202,-2.993708181,-0.885690757,-0.069600897,1
0.026,-1.679989046,-1.401799092,-1.812690569,-2.993709669,-0.885689077,-0.06960106,1
0.028,-1.67998722,-1.40179894,-1.812688997,-2.99371128,-0.885687256,-0.069601236,1
0.03,-1.679985254,-1.401798778,-1.812687304,-2.993713016,-0.885685295,-0.069601427,1
0.032,-1.679983148,-1.401798603,-1.812685491,-2.993714875,-0.885683195,-0.06960163,1
0.034,-1.679980901,-1.401798417,-1.812683556,-2.993716858,-0.885680954,-0.069601848,1
0.036,-1.679978513,-1.401798219,-1.8126815,-2.993718966,-0.885678573,-0.069602079,1
0.038,-1.679975985,-1.401798009,-1.812679324,-2.993721197,-0.885676053,-0.069602323,1
0.04,-1.679973317,-1.401797788,-1.812677026,-2.993723552,-0.885673392,-0.069602581,1
0.042,-1.679970508,-1.401797555,-1.812674608,-2.993726031,-0.885670591,-0.069602853,1
0.044,-1.679967559,-1.401797311,-1.812672069,-2.993728634,-0.88566765,-0.069603139,1
0.046,-1.67996447,-1.401797055,-1.812669409,-2.993731361,-0.885664569,-0.069603437,1
0.048,-1.67996124,-1.401796787,-1.812666628,-2.993734212,-0.885661349,-0.06960375,1
0.05,-1.679957869,-1.401796508,-1.812663725,-2.993737187,-0.885657988,-0.069604076,1
0.052,-1.679954358,-1.401796217,-1.812660703,-2.993740286,-0.885654487,-0.069604416,1
0.054,-1.679950707,-1.401795915,-1.812657559,-2.993743509,-0.885650846,-0.069604769,1
0.056,-1.679946915,-1.401795601,-1.812654294,-2.993746856,-0.885647065,-0.069605136,1
0.058,-1.679942983,-1.401795275,-1.812650908,-2.993750326,-0.885643143,-0.069605516,1
0.06,-1.679938911,-1.401794938,-1.812647401,-2.993753921,-0.885639082,-0.06960591,1
0.062,-1.679934698,-1.401794589,-1.812643773,-2.99375764,-0.885634881,-0.069606318,1
0.064,-1.679930344,-1.401794229,-1.812640025,-2.993761482,-0.88563054,-0.069606739,1
0.066,-1.679925851,-1.401793857,-1.812636155,-2.993765449,-0.885626059,-0.069607174,1
0.068,-1.679921216,-1.401793473,-1.812632165,-2.993769539,-0.885621438,-0.069607622,1
0.07,-1.679916442,-1.401793078,-1.812628053,-2.993773753,-0.885616677,-0.069608084,1
0.072,-1.679911527,-1.401792671,-1.81262382,-2.993778092,-0.885611775,-0.06960856,1
0.074,-1.679906471,-1.401792253,-1.812619467,-2.993782554,-0.885606734,-0.069609049,1
0.076,-1.679901275,-1.401791823,-1.812614993,-2.99378714,-0.885601553,-0.069609552,1
0.078,-1.679895939,-1.401791382,-1.812610397,-2.99379185,-0.885596232,-0.069610068,1
0.08,-1.679890463,-1.401790929,-1.812605681,-2.993796684,-0.88559077,-0.069610598,1
0.082,-1.679884845,-1.401790464,-1.812600843,-2.993801642,-0.885585169,-0.069611142,1
0.084,-1.679879088,-1.401789988,-1.812595885,-2.993806724,-0.885579428,-0.069611699,1
0.086,-1.67987319,-1.4017895,-1.812590806,-2.99381193,-0.885573547,-0.069612269,1
0.088,-1.679867152,-1.401789001,-1.812585605,-2.99381726,-0.885567525,-0.069612854,1
0.09,-1.679860973,-1.40178849,-1.812580284,-2.993822714,-0.885561364,-0.069613452,1
0.092,-1.679854654,-1.401787968,-1.812574842,-2.993828291,-0.885555063,-0.069614063,1
0.094,-1.679848195,-1.401787434,-1.812569279,-2.993833993,-0.885548621,-0.069614688,1
0.096,-1.679841595,-1.401786889,-1.812563594,-2.993839818,-0.88554204,-0.069615327,1
0.098,-1.679834855,-1.401786332,-1.812557789,-2.993845768,-0.885535319,-0.069615979,1
0.1,-1.679827974,-1.401785763,-1.812551863,-2.993851841,-0.885528457,-0.069616645,1
0.102,-1.679820953,-1.401785184,-1.812545815,-2.993858038,-0.885521456,-0.069617324,1
0.104,-1.679813792,-1.401784592,-1.812539647,-2.993864359,-0.885514315,-0.069618017,1
0.106,-1.67980649,-1.401783989,-1.812533357,-2.993870804,-0.885507034,-0.069618724,1
0.108,-1.679799048,-1.401783375,-1.812526947,-2.993877373,-0.885499612,-0.069619444,1
0.11,-1.679791465,-1.401782749,-1.812520415,-2.993884066,-0.885492051,-0.069620178,1
0.112,-1.679783742,-1.401782112,-1.812513763,-2.993890883,-0.88548435,-0.069620925,1
0.114,-1.679775879,-1.401781463,-1.812506989,-2.993897824,-0.885476509,-0.069621686,1
0.116,-1.679767875,-1.401780803,-1.812500095,-2.993904888,-0.885468528,-0.069622461,1
0.118,-1.679759731,-1.401780131,-1.812493079,-2.993912077,-0.885460407,-0.069623249,1
0.12,-1.679751447,-1.401779448,-1.812485942,-2.993919389,-0.885452146,-0.069624051,1
0.122,-1.679743022,-1.401778753,-1.812478685,-2.993926826,-0.885443745,-0.069624866,1
0.124,-1.679734457,-1.401778047,-1.812471306,-2.993934386,-0.885435204,-0.069625695,1
0.126,-1.679725752,-1.40177733,-1.812463806,-2.99394207,-0.885426523,-0.069626538,1
0.128,-1.679716906,-1.401776601,-1.812456185,-2.993949878,-0.885417702,-0.069627394,1
0.13,-1.67970792,-1.401775861,-1.812448443,-2.99395781,-0.885408741,-0.069628264,1
0.132,-1.679698793,-1.401775109,-1.812440579,-2.993965866,-0.88539964,-0.069629147,1
0.134,-1.679689526,-1.401774346,-1.812432595,-2.993974045,-0.885390399,-0.069630044,1
0.136,-1.679680119,-1.401773571,-1.81242449,-2.993982349,-0.885381018,-0.069630955,1
0.138,-1.679670572,-1.401772785,-1.812416263,-2.993990776,-0.885371498,-0.069631879,1
0.14,-1.679660884,-1.401771988,-1.812407915,-2.993999328,-0.885361837,-0.069632817,1
0.142,-1.679651056,-1.401771179,-1.812399447,-2.994008003,-0.885352037,-0.069633768,1
0.144,-1.679641087,-1.401770359,-1.812390857,-2.994016802,-0.885342096,-0.069634733,1
0.146,-1.679630978,-1.401769528,-1.812382146,-2.994025725,-0.885332016,-0.069635711,1
0.148,-1.679620729,-1.401768685,-1.812373314,-2.994034772,-0.885321795,-0.069636704,1
0.15,-1.67961034,-1.401767831,-1.81236436,-2.994043942,-0.885311435,-0.069637709,1
0.152,-1.67959981,-1.401766966,-1.812355286,-2.994053237,-0.885300935,-0.069638729,1
0.154,-1.67958914,-1.401766089,-1.81234609,-2.994062655,-0.885290295,-0.069639762,1
0.156,-1.679578329,-1.401765201,-1.812336773,-2.994072198,-0.885279515,-0.069640808,1
0.158,-1.679567379,-1.401764302,-1.812327335,-2.994081864,-0.885268595,-0.069641868,1
0.16,-1.679556288,-1.401763391,-1.812317776,-2.994091654,-0.885257535,-0.069642942,1
0.162,-1.679545056,-1.401762469,-1.812308096,-2.994101568,-0.885246335,-0.069644029,1
0.164,-1.679533685,-1.401761536,-1.812298294,-2.994111605,-0.885234995,-0.06964513,1
0.166,-1.679522173,-1.401760591,-1.812288372,-2.994121767,-0.885223516,-0.069646245,1
0.168,-1.67951052,-1.401759636,-1.812278328,-2.994132052,-0.885211896,-0.069647373,1
0.17,-1.679498728,-1.401758669,-1.812268163,-2.994142462,-0.885200137,-0.069648515,1
0.172,-1.679486795,-1.401757691,-1.812257876,-2.994152995,-0.885188238,-0.06964967,1
0.174,-1.679474722,-1.401756701,-1.812247469,-2.994163652,-0.885176199,-0.069650839,1
0.176,-1.679462509,-1.4017557,-1.81223694,-2.994174432,-0.88516402,-0.069652022,1
0.178,-1.679450155,-1.401754689,-1.81222629,-2.994185337,-0.885151701,-0.069653218,1
0.18,-1.679437661,-1.401753666,-1.812215518,-2.994196365,-0.885139242,-0.069654428,1
0.182,-1.679425027,-1.401752631,-1.812204626,-2.994207518,-0.885126643,-0.069655651,1
0.184,-1.679412253,-1.401751586,-1.812193612,-2.994218794,-0.885113905,-0.069656888,1
0.186,-1.679399338,-1.401750529,-1.812182477,-2.994230194,-0.885101027,-0.069658139,1
0.188,-1.679386283,-1.401749461,-1.81217122,-2.994241717,-0.885088008,-0.069659403,1
0.19,-1.679373088,-1.401748382,-1.812159842,-2.994253365,-0.88507485,-0.069660681,1
0.192,-1.679359752,-1.401747292,-1.812148343,-2.994265136,-0.885061553,-0.069661972,1
0.194,-1.679346277,-1.401746191,-1.812136723,-2.994277031,-0.885048115,-0.069663278,1
0.196,-1.679332661,-1.401745079,-1.812124981,-2.99428905,-0.885034537,-0.069664596,1
0.198,-1.679318905,-1.401743955,-1.812113118,-2.994301193,-0.88502082,-0.069665928,1
0.2,-1.679305008,-1.401742821,-1.812101134,-2.99431346,-0.885006963,-0.069667274,1
0.202,-1.679290972,-1.401741675,-1.812089028,-2.99432585,-0.884992965,-0.069668634,1
0.204,-1.679276795,-1.401740519,-1.812076801,-2.994338364,-0.884978829,-0.069670007,1
0.206,-1.679262478,-1.401739351,-1.812064453,-2.994351002,-0.884964552,-0.069671394,1
0.208,-1.679248021,-1.401738172,-1.812051983,-2.994363764,-0.884950135,-0.069672794,1
0.21,-1.679233423,-1.401736982,-1.812039392,-2.994376649,-0.884935579,-0.069674208,1
0.212,-1.679218686,-1.401735781,-1.812026679,-2.994389658,-0.884920883,-0.069675636,1
0.214,-1.679203808,-1.40173457,-1.812013845,-2.994402792,-0.884906047,-0.069677077,1
0.216,-1.67918879,-1.401733347,-1.81200089,-2.994416048,-0.884891071,-0.069678532,1
0.218,-1.679173632,-1.401732113,-1.811987813,-2.994429429,-0.884875956,-0.06968,1
0.22,-1.679158334,-1.401730868,-1.811974615,-2.994442933,-0.8848607,-0.069681482,1
0.222,-1.679142895,-1.401729612,-1.811961295,-2.994456561,-0.884845305,-0.069682978,1
0.224,-1.679127316,-1.401728345,-1.811947854,-2.994470313,-0.88482977,-0.069684487,1
0.226,-1.679111597,-1.401727068,-1.811934292,-2.994484189,-0.884814096,-0.06968601,1
0.228,-1.679095738,-1.401725779,-1.811920608,-2.994498188,-0.884798281,-0.069687546,1
0.23,-1.679079739,-1.40172448,-1.811906802,-2.994512311,-0.884782327,-0.069689096,1
0.232,-1.6790636,-1.401723169,-1.811892875,-2.994526558,-0.884766233,-0.06969066,1
0.234,-1.67904732,-1.401721848,-1.811878827,-2.994540929,-0.884749999,-0.069692238,1
0.236,-1.679030901,-1.401720516,-1.811864657,-2.994555423,-0.884733626,-0.069693829,1
0.238,-1.679014341,-1.401719173,-1.811850365,-2.994570041,-0.884717113,-0.069695433,1
0.24,-1.678997641,-1.401717819,-1.811835952,-2.994584783,-0.88470046,-0.069697051,1
0.242,-1.678980801,-1.401716454,-1.811821418,-2.994599648,-0.884683667,-0.069698683,1
0.244,-1.678963821,-1.401715078,-1.811806762,-2.994614638,-0.884666735,-0.069700329,1
0.246,-1.678946701,-1.401713692,-1.811791984,-2.994629751,-0.884649663,-0.069701988,1
0.248,-1.67892944,-1.401712295,-1.811777085,-2.994644987,-0.884632451,-0.069703661,1
0.25,-1.67891204,-1.401710887,-1.811762064,-2.994660347,-0.8846151,-0.069705347,1
0.252,-1.678894499,-1.401709468,-1.811746922,-2.994675832,-0.884597608,-0.069707047,1
0.254,-1.678876818,-1.401708039,-1.811731658,-2.994691439,-0.884579977,-0.06970876,1
0.256,-1.678858998,-1.401706598,-1.811716272,-2.994707171,-0.884562207,-0.069710488,1
0.258,-1.678841037,-1.401705147,-1.811700765,-2.994723026,-0.884544297,-0.069712229,1
0.26,-1.678822936,-1.401703686,-1.811685136,-2.994739005,-0.884526247,-0.069713983,1
0.262,-1.678804695,-1.401702213,-1.811669385,-2.994755107,-0.884508057,-0.069715751,1
0.264,-1.678786314,-1.40170073,-1.811653513,-2.994771333,-0.884489728,-0.069717533,1
0.266,-1.678767793,-1.401699237,-1.811637519,-2.994787683,-0.884471259,-0.069719328,1
0.268,-1.678749131,-1.401697732,-1.811621404,-2.994804157,-0.88445265,-0.069721137,1
0.27,-1.67873033,-1.401696217,-1.811605167,-2.994820754,-0.884433902,-0.06972296,1
0.272,-1.678711389,-1.401694692,-1.811588808,-2.994837475,-0.884415014,-0.069724796,1
0.274,-1.678692308,-1.401693155,-1.811572327,-2.994854319,-0.884395986,-0.069726646,1
0.276,-1.678673086,-1.401691609,-1.811555725,-2.994871287,-0.884376819,-0.06972851,1
0.278,-1.678653725,-1.401690051,-1.811539001,-2.994888379,-0.884357512,-0.069730387,1
0.28,-1.678634223,-1.401688483,-1.811522155,-2.994905595,-0.884338066,-0.069732278,1
0.282,-1.678614582,-1.401686905,-1.811505187,-2.994922934,-0.88431848,-0.069734182,1
0.284,-1.678594801,-1.401685316,-1.811488098,-2.994940396,-0.884298754,-0.0697361,1
0.286,-1.678574879,-1.401683716,-1.811470887,-2.994957983,-0.884278888,-0.069738032,1
0.288,-1.678554818,-1.401682106,-1.811453554,-2.994975693,-0.884258884,-0.069739977,1
0.29,-1.678534616,-1.401680486,-1.811436099,-2.994993526,-0.884238739,-0.069741936,1
0.292,-1.678514275,-1.401678855,-1.811418522,-2.995011483,-0.884218455,-0.069743909,1
0.294,-1.678493794,-1.401677213,-1.811400824,-2.995029564,-0.884198031,-0.069745895,1
0.296,-1.678473172,-1.401675561,-1.811383003,-2.995047769,-0.884177468,-0.069747895,1
0.298,-1.678452411,-1.401673899,-1.811365061,-2.995066096,-0.884156765,-0.069749909,1
0.3,-1.67843151,-1.401672227,-1.811346997,-2.995084548,-0.884135923,-0.069751936,1
0.302,-1.678410469,-1.401670544,-1.811328811,-2.995103123,-0.884114941,-0.069753977,1
0.304,-1.678389287,-1.40166885,-1.811310503,-2.995121822,-0.88409382,-0.069756031,1
0.306,-1.678367966,-1.401667146,-1.811292074,-2.995140644,-0.884072559,-0.069758099,1
0.308,-1.678346505,-1.401665432,-1.811273522,-2.99515959,-0.884051158,-0.069760181,1
0.31,-1.678324904,-1.401663708,-1.811254848,-2.99517866,-0.884029618,-0.069762276,1
0.312,-1.678303164,-1.401661973,-1.811236053,-2.995197853,-0.884007938,-0.069764385,1
0.314,-1.678281283,-1.401660228,-1.811217135,-2.995217169,-0.883986119,-0.069766508,1
0.316,-1.678259262,-1.401658473,-1.811198096,-2.99523661,-0.883964161,-0.069768645,1
0.318,-1.678237102,-1.401656708,-1.811178934,-2.995256173,-0.883942063,-0.069770795,1
0.32,-1.678214801,-1.401654932,-1.81115965,-2.99527586,-0.883919825,-0.069772958,1
0.322,-1.678192361,-1.401653146,-1.811140245,-2.995295671,-0.883897448,-0.069775136,1
0.324,-1.678169781,-1.40165135,-1.811120717,-2.995315606,-0.883874931,-0.069777327,1
0.326,-1.67814706,-1.401649544,-1.811101068,-2.995335663,-0.883852275,-0.069779531,1
0.328,-1.678124201,-1.401647727,-1.811081296,-2.995355845,-0.88382948,-0.069781749,1
0.33,-1.678101201,-1.401645901,-1.811061402,-2.99537615,-0.883806545,-0.069783981,1
0.332,-1.678078061,-1.401644064,-1.811041386,-2.995396578,-0.88378347,-0.069786227,1
0.334,-1.678054782,-1.401642218,-1.811021248,-2.99541713,-0.883760257,-0.069788486,1
0.336,-1.678031362,-1.401640361,-1.811000988,-2.995437805,-0.883736903,-0.069790759,1
0.338,-1.678007803,-1.401638494,-1.810980605,-2.995458604,-0.883713411,-0.069793046,1
0.34,-1.677984104,-1.401636617,-1.810960101,-2.995479527,-0.883689778,-0.069795346,1
0.342,-1.677960266,-1.40163473,-1.810939474,-2.995500572,-0.883666007,-0.06979766,1
0.344,-1.677936287,-1.401632833,-1.810918725,-2.995521742,-0.883642096,-0.069799987,1
0.346,-1.677912169,-1.401630926,-1.810897854,-2.995543035,-0.883618046,-0.069802328,1
0.348,-1.67788791,-1.401629009,-1.810876861,-2.995564451,-0.883593856,-0.069804683,1
0.35,-1.677863513,-1.401627083,-1.810855746,-2.995585991,-0.883569527,-0.069807052,1
0.352,-1.677838975,-1.401625146,-1.810834508,-2.995607654,-0.883545058,-0.069809434,1
0.354,-1.677814297,-1.401623199,-1.810813148,-2.99562944,-0.88352045,-0.06981183,1
0.356,-1.67778948,-1.401621243,-1.810791666,-2.995651351,-0.883495703,-0.069814239,1
0.358,-1.677764523,-1.401619276,-1.810770061,-2.995673384,-0.883470816,-0.069816663,1
0.36,-1.677739427,-1.4016173,-1.810748334,-2.995695541,-0.883445791,-0.069819099,1
0.362,-1.67771419,-1.401615314,-1.810726485,-2.995717821,-0.883420625,-0.06982155,1
0.364,-1.677688814,-1.401613318,-1.810704514,-2.995740225,-0.883395321,-0.069824014,1
0.366,-1.677663298,-1.401611313,-1.81068242,-2.995762752,-0.883369877,-0.069826492,1
0.368,-1.677637642,-1.401609297,-1.810660204,-2.995785403,-0.883344294,-0.069828984,1
0.37,-1.677611847,-1.401607272,-1.810637865,-2.995808177,-0.883318571,-0.069831489,1
0.372,-1.677585912,-1.401605237,-1.810615404,-2.995831074,-0.883292709,-0.069834008,1
0.374,-1.677559837,-1.401603193,-1.81059282,-2.995854095,-0.883266708,-0.06983654,1
0.376,-1.677533623,-1.401601139,-1.810570114,-2.995877239,-0.883240568,-0.069839086,1
0.378,-1.677507269,-1.401599075,-1.810547286,-2.995900507,-0.883214288,-0.069841646,1
0.38,-1.677480775,-1.401597001,-1.810524335,-2.995923898,-0.883187869,-0.06984422,1
0.382,-1.677454142,-1.401594918,-1.810501262,-2.995947412,-0.883161311,-0.069846807,1
0.384,-1.677427369,-1.401592825,-1.810478066,-2.99597105,-0.883134614,-0.069849408,1
0.386,-1.677400457,-1.401590723,-1.810454748,-2.995994811,-0.883107777,-0.069852023,1
0.388,-1.677373404,-1.401588611,-1.810431307,-2.996018695,-0.883080801,-0.069854651,1
0.39,-1.677346212,-1.40158649,-1.810407744,-2.996042703,-0.883053686,-0.069857293,1
0.392,-1.677318881,-1.401584359,-1.810384058,-2.996066834,-0.883026432,-0.069859949,1
0.394,-1.67729141,-1.401582219,-1.810360249,-2.996091088,-0.882999038,-0.069862618,1
0.396,-1.677263799,-1.401580069,-1.810336318,-2.996115466,-0.882971505,-0.069865301,1
0.398,-1.677236049,-1.40157791,-1.810312264,-2.996139967,-0.882943833,-0.069867998,1
0.4,-1.677208159,-1.401575741,-1.810288088,-2.996164591,-0.882916022,-0.069870708,1
0.402,-1.67718013,-1.401573563,-1.810263789,-2.996189339,-0.882888072,-0.069873432,1
0.404,-1.677151961,-1.401571376,-1.810239367,-2.99621421,-0.882859983,-0.06987617,1
0.406,-1.677123652,-1.401569179,-1.810214822,-2.996239204,-0.882831754,-0.069878922,1
0.408,-1.677095204,-1.401566973,-1.810190155,-2.996264322,-0.882803386,-0.069881687,1
0.41,-1.677066617,-1.401564757,-1.810165365,-2.996289562,-0.88277488,-0.069884466,1
0.412,-1.67703789,-1.401562533,-1.810140453,-2.996314926,-0.882746234,-0.069887258,1
0.414,-1.677009023,-1.401560299,-1.810115417,-2.996340414,-0.882717448,-0.069890064,1
0.416,-1.676980017,-1.401558055,-1.810090259,-2.996366024,-0.882688524,-0.069892884,1
0.418,-1.676950871,-1.401555803,-1.810064978,-2.996391758,-0.882659461,-0.069895718,1
0.42,-1.676921586,-1.401553542,-1.810039574,-2.996417615,-0.882630259,-0.069898565,1
0.422,-1.676892162,-1.401551271,-1.810014048,-2.996443595,-0.882600917,-0.069901426,1
0.424,-1.676862598,-1.401548991,-1.809988398,-2.996469699,-0.882571437,-0.069904301,1
0.426,-1.676832894,-1.401546702,-1.809962626,-2.996495925,-0.882541817,-0.06990719,1
0.428,-1.676803051,-1.401544404,-1.809936731,-2.996522275,-0.882512058,-0.069910092,1
